target_name,query_name,domain_type,evalue,score,hmm_from,hmm_to,seq_from,seq_to,gene_id,region_id,start,end,strand,length,partial,has_start_codon,has_stop_codon,n_content_pct,domain_start,domain_end
AF016297.1_1,CUB,OTHER,3.1e-58,195.4,1,110,28,139,AF016297.1_1,AF016297.1,312,3089,1,2778,,False,False,0.0,396,729
AF016297.1_1,CUB_animal,OTHER,4.4e-09,37.6,78,154,53,142,AF016297.1_1,AF016297.1,312,3089,1,2778,,False,False,0.0,471,738
AF016297.1_1,CUB_animal,OTHER,4.4e-09,37.6,2,153,146,267,AF016297.1_1,AF016297.1,312,3089,1,2778,,False,False,0.0,750,1113
AF016297.1_1,CUB,OTHER,3.1e-58,195.4,1,110,149,264,AF016297.1_1,AF016297.1,312,3089,1,2778,,False,False,0.0,759,1104
AF016297.1_1,F5_F8_type_C,OTHER,1.1e-53,181.3,1,127,292,424,AF016297.1_1,AF016297.1,312,3089,1,2778,,False,False,0.0,1188,1584
AF016297.1_1,F5_F8_type_C,OTHER,1.1e-53,181.3,1,127,449,589,AF016297.1_1,AF016297.1,312,3089,1,2778,,False,False,0.0,1659,2079
AF016297.1_1,F5_F8_type_C_2,OTHER,7.3e-12,46.3,17,90,474,573,AF016297.1_1,AF016297.1,312,3089,1,2778,,False,False,0.0,1734,2031
AF016297.1_1,MAM,OTHER,3.7e-30,105.4,1,153,646,800,AF016297.1_1,AF016297.1,312,3089,1,2778,,False,False,0.0,2250,2712
AF016297.1_1,DUF3481,OTHER,8.9e-41,138.2,4,82,844,925,AF016297.1_1,AF016297.1,312,3089,1,2778,,False,False,0.0,2844,3087
AY035337.1_1,GTP_EFTU,OTHER,5.1e-43,147.4,38,187,1,196,AY035337.1_1,AY035337.1,2,895,1,894,,False,False,0.0,5,590
AY035337.1_1,GTP_EFTU_D2,OTHER,2.1e-18,67.1,1,71,218,285,AY035337.1_1,AY035337.1,2,895,1,894,,False,False,0.0,656,857
